smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
N#CC12CC1CO2,5.99438,2.27301,1.94738,4.5933,55.81,-0.2627,-0.0086,0.2541,650.329,0.090625,-323.338627,-323.33283,-323.331885,-323.368166,21.459,-1226.75625,-1233.78435,-1240.302914,-1147.410874,8.311944444,8.311944444,0.263888889,-0.263888889,0.433162139,53.85714286,95.101,90.061,95.03711378,36,0,0.159357534,-0.359289949,0.359289949,0.159357534,1.857142857,2.714285714,2.714285714,16.53863679,10.20732192,2.640951135,-2.170261189,2.542919887,-2.27266055,5.243765646,-0.026006529,2.124668671,2.237111457,144.649369,4.905777394,3.847025718,3.847025718,3.372938668,2.425131184,2.425131184,2.213344381,2.213344381,1.780317695,1.780317695,0.996550943,0.996550943,-0.55,65.86472881,3.451756678,0.696270221,0.213031502,41.69348209,4.736862954,0,5.601050811,0,0,0,0,0,5.261891555,0,0,6.420821623,5.917906046,12.67610328,4.736862954,0,5.261891555,0,5.917906046,12.02187243,6.606881965,0,0,6.069221313,0,0,0,0,12.20793278,4.736862954,17.24901891,6.420821623,0,0,0,0,33.02,0,0,0,5.601050811,5.917906046,13.02770359,0,0,0,6.069221313,9.998754509,4.980324074,0,0,8.311944444,-0.263888889,0.608796296,2.12962963,0.989583333,0.826944444,0,0.8,7,0,2,1,1,2,0,0,0,2,0,2,0,1,1,2,2,0.29888,22.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCC(O)C#CC=O,2.32923,0.75737,0.59946,3.4068,77.34,-0.2697,-0.0657,0.204,1808.5114,0.131823,-458.914682,-458.903948,-458.903004,-458.952489,35.183,-1655.449691,-1663.823171,-1673.306087,-1542.77794,9.588025794,9.588025794,0.139722222,-0.847037037,0.390786746,11.33333333,128.127,120.063,128.0473441,50,0,0.192387544,-0.380952074,0.380952074,0.192387544,1.888888889,2.555555556,3,16.47463486,10.37274008,1.931564626,-1.968487055,1.773211593,-2.100018344,5.721332399,-0.102979997,1.845723769,3.472669579,130.9737366,7.112884175,5.125517496,5.125517496,4.308060412,2.426423135,2.426423135,1.377665842,1.377665842,0.633406293,0.633406293,0.329749655,0.329749655,-0.85,90.44046466,8.15,5.28986014,5.013837663,53.63248807,9.843390349,6.103966388,6.286160523,0,0,0,4.794537184,0,0,0,5.920434319,5.920434319,7.109797541,6.606881965,14.63792753,6.286160523,0,0,0,6.103966388,13.71667951,0,0,11.84086864,0,0,0,0,31.21333381,9.531400138,11.84086864,0,0,0,0,0,46.53,6.103966388,4.794537184,0,6.606881965,6.286160523,0,7.109797541,0,0,16.57773159,5.106527395,4.532228836,0,9.588025794,8.722777778,0,4.317962963,0,-0.417592593,0.139722222,1.450208333,0.5,9,1,3,0,0,0,0,0,0,3,1,3,2,0,0,0,0,-0.804,31.7228,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1C2CC(=NO)C12,2.7195,1.23126,1.02616,1.292,76.75,-0.2258,0.0156,0.2414,1215.4323,0.146098,-438.996978,-438.988148,-438.987204,-439.030829,32.71,-1694.820233,-1705.277043,-1715.352955,-1572.928492,8.328808579,8.328808579,0.371203704,0.371203704,0.410928663,50.33333333,127.143,118.071,127.0633285,50,0,0.069526859,-0.410895351,0.410895351,0.069526859,1.777777778,2.555555556,2.888888889,16.48488741,9.978329682,2.620766059,-2.07444384,2.545765634,-2.137856485,5.96919822,0.170114903,2.376380386,2.011395081,166.4407955,6.43072142,5.24183307,5.24183307,4.380540058,3.118034164,3.118034164,2.685417529,2.685417529,2.326543278,2.326543278,1.668190983,1.668190983,-0.57,192.4868112,5.233374533,1.475292374,0.477028285,53.30943926,9.944115979,0,0,0,0,0,0,0,0,0,5.155712727,6.420821623,18.94560963,11.81565139,9.944115979,5.711685003,0,0,16.99152482,12.52478801,7.109797541,0,0,0,0,0,0,0,24.13270196,4.736862954,11.83581209,6.420821623,5.155712727,0,0,0,41.82,0,0,0,0,17.93977848,12.13250663,0,7.109797541,0,5.155712727,9.944115979,5.088287037,0,0,11.48010488,0.923009259,1.153611111,0,1.315324074,0,1.70633031,0.833333333,9,1,3,2,0,2,0,0,0,3,1,3,1,2,0,2,2,0.4813,31.6155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(CC=O)OCC#C,2.29944,0.85305,0.65285,3.1488,79.5,-0.2438,-0.0199,0.2239,1685.1071,0.154138,-422.988608,-422.977883,-422.976938,-423.026195,36.895,-1838.172154,-1848.329015,-1858.997295,-1712.247413,9.84676729,9.84676729,0.043009259,-0.043009259,0.407324096,12,126.155,116.075,126.0680796,50,0,0.122066265,-0.365407,0.365407,0.122066265,1.888888889,2.555555556,3,16.48455045,10.30181873,1.964745536,-2.040534203,1.914779288,-2.076932423,5.494129906,-0.109437359,1.845723769,3.17139536,112.5747834,7.112884175,5.462760951,5.462760951,4.308060412,2.796155031,2.796155031,1.728114524,1.728114524,0.879336814,0.879336814,0.393921558,0.393921558,-0.81,90.44046466,8.19,5.329082058,5.054547801,55.20319644,9.531400138,12.89304249,0,0,0,0,0,0,0,6.423349896,5.920434319,6.9237372,6.420821623,6.103966388,9.531400138,6.286160523,0,0,0,19.44852521,6.606881965,0,0,12.34378421,0,0,0,0,18.99700888,9.531400138,12.34378421,13.34455882,0,0,0,0,26.3,0,4.794537184,0,12.71084835,6.420821623,6.286160523,0,0,6.9237372,5.920434319,11.16021285,4.964166667,0,9.84676729,0,0,2.31885771,0,6.105578704,2.097962963,0,0.571428571,9,0,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0.6137,34.928,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COC(=N)N1CCC1=N,3.03493,1.26316,0.90731,1.9135,77.81,-0.2343,0.0056,0.24,1271.6972,0.147974,-435.272093,-435.262958,-435.262014,-435.306724,32.448,-1706.582262,-1716.847054,-1726.922966,-1584.819788,7.125972222,7.125972222,0.075231481,0.075231481,0.361711106,17,127.147,118.075,127.0745619,50,0,0.289158458,-0.468367292,0.468367292,0.289158458,1.777777778,2.444444444,2.555555556,16.48861167,10.20144799,2.235409509,-2.312279056,2.079765527,-2.467068397,5.983531169,0.312455401,1.843954849,2.437339469,154.2820971,6.853371151,5.269675448,5.269675448,4.253218858,2.729367188,2.729367188,1.857608649,1.857608649,1.336533652,1.336533652,0.669724666,0.669724666,-1.06,92.19774243,6.065944584,2.045962722,0.871540997,53.43726923,4.736862954,5.835619786,0,0,6.021680127,0,15.71847694,0,0,0,0,0,12.96557803,7.109797541,4.736862954,11.85729991,10.81856721,4.899909731,0,6.420821623,13.65455395,0,0,0,0,0,0,0,30.41176359,4.736862954,10.81856721,6.420821623,0,0,0,0,60.17,0,0,0,6.021680127,5.835619786,12.96557803,12.00970727,0,0,4.736862954,10.81856721,4.592916667,0,1.513888889,14.21388889,0,0.473935185,0.075231481,0.769583333,0.755462963,1.438425926,0.6,9,2,4,0,1,1,0,0,0,3,2,4,0,0,1,1,1,0.25054,33.7854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(CN1)C#CCO,4.74131,0.88921,0.82829,2.1424,74.74,-0.2433,0.028,0.2713,1408.8688,0.140784,-363.798603,-363.789503,-363.788558,-363.833841,31.974,-1610.862039,-1620.260868,-1629.743784,-1499.223795,8.255972222,8.255972222,0.030486111,-0.030486111,0.321823927,33.25,111.144,102.072,111.0684139,44,0,0.103804783,-0.383654455,0.383654455,0.103804783,1.875,2.5,2.875,16.24932138,10.19774206,2.333196299,-1.871771109,2.117170428,-2.036324868,5.24617642,0.350142936,2.446910471,2.375238064,138.3428625,6.035533906,4.861427158,4.861427158,3.767766953,2.626887938,2.626887938,2.14555075,2.14555075,1.150440418,1.150440418,0.455581861,0.455581861,-0.52,112.5578817,5.61368984,1.77179535,1.223826666,48.90145177,5.106527395,6.606881965,0,0,0,0,5.316788604,0,0,0,11.84086864,6.9237372,6.544756406,5.538925252,5.106527395,0,0,5.316788604,0,12.46266245,13.15163837,0,0,11.84086864,5.316788604,0,0,0,23.79709102,0,11.84086864,6.9237372,0,0,0,0,42.17,0,0,0,12.14580722,0,6.544756406,0,0,6.9237372,17.15765724,5.106527395,0,0,0,11.31680556,0.030486111,5.465277778,0,0,2.937430556,0,0.666666667,8,2,2,0,1,1,0,0,0,2,2,2,0,0,1,1,1,-0.656,31.2695,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC1CNC(=O)CN1,3.96864,0.95399,0.80842,3.8267,79.57,-0.2147,0.0329,0.2475,1443.7499,0.184782,-420.448349,-420.439193,-420.438249,-420.482505,34.304,-1965.446039,-1978.36394,-1990.21884,-1823.637163,10.55092971,10.55092971,0.110833333,0.110833333,0.498859729,27.66666667,128.175,116.079,128.094963,52,0,0.233522213,-0.353431323,0.353431323,0.233522213,1.777777778,2.555555556,3,16.15021265,10.17145656,2.132596922,-2.21675056,1.908117216,-2.508530267,5.78310193,-0.121172506,1.900372628,2.257638402,103.6254878,6.690234444,5.606918903,5.606918903,4.325698503,3.327062814,3.327062814,2.290149732,2.290149732,1.589724115,1.589724115,0.897414459,0.897414459,-0.57,129.2253387,6.548623962,2.823853375,1.676856938,54.81937691,10.63357721,0,0,5.907179729,0,0,4.794537184,0,0,0,6.9237372,6.420821623,12.58659724,6.544756406,4.794537184,5.907179729,0,10.63357721,0,19.38639965,13.08951281,0,0,0,10.63357721,0,0,0,25.03853337,4.794537184,0,13.34455882,0,0,0,0,41.13,0,4.794537184,0,5.907179729,12.58659724,12.96557803,0,0,0,17.55731441,0,0,0,10.55092971,5.888055556,0,0.110833333,0.488611111,1.083611111,3.377959184,0,0.833333333,9,2,3,0,1,1,0,0,0,2,2,3,1,0,1,1,1,-0.5156,35.0914,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)N(C)C(C)C#N,2.67232,1.04022,0.89888,4.2814,86.63,-0.2256,0.0353,0.2608,1423.2968,0.203639,-384.473357,-384.462368,-384.461424,-384.509176,40.309,-2117.472017,-2131.017426,-2144.058318,-1963.59175,8.462407407,8.462407407,0.032407407,0.032407407,0.556264704,13.88888889,126.203,112.091,126.1156984,52,0,0.094858387,-0.288929619,0.288929619,0.094858387,1.333333333,1.777777778,1.888888889,15.13904413,10.24206473,2.088569903,-2.222087602,1.982256182,-2.332242272,4.868563924,0.245697203,1.843449565,3.755197414,112.5747834,7.439157589,6.549127729,6.549127729,4.091422815,3.207944115,3.207944115,2.564289941,2.564289941,1.612279781,1.612279781,0.538281956,0.538281956,-0.55,75.58143215,8.45,3.470660116,2.477910753,57.08131707,0,0,0,0,0,0,4.899909731,0,5.261891555,0,0,27.81888358,6.041840829,12.11106214,0,0,5.261891555,4.899909731,0,32.85489326,7.047671983,0,0,6.069221313,0,0,0,0,24.03126337,0,11.33111287,20.7712116,0,0,0,0,27.03,0,0,0,6.041840829,6.041840829,0,0,0,18.87131891,19.91669571,5.261891555,0,0,2.027777778,8.462407407,0,0,2.662361111,0,6.057222222,1.956898148,0.857142857,9,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.23868,37.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(O)C2CC1C(=O)O2,2.93213,1.59934,1.39692,3.9822,67.58,-0.2636,0.0037,0.2673,973.0186,0.136173,-458.980805,-458.973242,-458.972298,-459.012433,30.273,-1696.942468,-1707.305779,-1716.788695,-1580.393339,10.64914352,10.64914352,0.212962963,-0.850115741,0.454751754,54.66666667,128.127,120.063,128.0473441,50,0,0.312034266,-0.458957176,0.458957176,0.312034266,1.888888889,2.555555556,2.666666667,16.57515988,9.709846374,2.631234188,-2.358394645,2.474067809,-2.513913519,5.796183837,-0.13799838,2.199454526,2.312421904,173.1417863,6.64626437,5.125517496,5.125517496,4.121027034,3.050079333,3.050079333,2.939639408,2.939639408,2.350051534,2.350051534,1.47974869,1.47974869,-0.57,142.9645442,5.233374533,1.137982629,0.399065235,52.62160037,9.843390349,11.7050172,0,0,0,5.969305288,4.794537184,0,0,0,0,6.9237372,6.420821623,5.917906046,14.63792753,5.969305288,0,0,5.917906046,25.04957602,0,0,0,0,0,0,0,0,22.78084988,9.531400138,5.917906046,13.34455882,0,0,0,0,46.53,5.601050811,9.901064579,0,17.99117772,6.420821623,0,0,6.9237372,0,0,4.736862954,4.761574074,0,10.64914352,9.337314815,-0.850115741,-0.465277778,0,0.501157407,1.649537037,0,0.833333333,9,1,3,1,2,3,0,0,0,3,1,3,0,1,2,3,3,-0.3173,28.6108,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC1C2OC2C1O,3.41985,1.75769,1.41476,1.8163,66.73,-0.2497,0.0733,0.323,935.0007,0.153361,-384.900922,-384.893104,-384.89216,-384.932976,29.729,-1686.996451,-1698.0883,-1708.164839,-1566.726821,9.09287037,9.09287037,0.134259259,-0.134259259,0.492216505,59.25,114.144,104.064,114.0680796,46,0,0.110710495,-0.389920295,0.389920295,0.110710495,1.5,2.25,2.5,16.62098547,9.803145991,2.620848914,-2.245908525,2.477149116,-2.40573022,5.092789762,0.057117796,2.439794596,1.980982091,113.0961628,5.723614639,4.871969744,4.871969744,3.842535255,3.178291816,3.178291816,2.628009385,2.628009385,2.230126732,2.230126732,1.52175079,1.52175079,-0.08,136.6284974,4.76658851,1.251615801,0.361138046,48.46007827,9.843390349,6.103966388,0,0,0,0,0,0,0,0,6.9237372,6.420821623,5.917906046,12.20793278,9.843390349,0,0,0,5.917906046,31.65645799,0,0,0,0,0,0,0,0,23.41842656,4.736862954,5.917906046,13.34455882,0,0,0,0,32.76,0,0,0,12.20793278,12.02187243,6.420821623,0,0,0,6.9237372,9.843390349,5.093564815,0,0,9.09287037,0,0.458333333,0,1.599490741,2.089074074,0,1,8,1,2,1,1,2,0,0,0,2,1,2,1,1,1,2,2,0.1545,28.4488,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
